JUDOCA;IND_SUSTENTACAO;TAM_MIN_PADRAO;ITENS_OBRIGATORIOS;NUM_PADROES;TEMPO_ALGORITMO (s);TEMPO_TRADUCAO (s);ARQUIVO
SCHMITT;0,4;;2722;0;0,001;0,012;Traducao_SCHMITT_0.4_2722.CSV
SCHMITT;0,3;;2722;0;0,001;0,0;Traducao_SCHMITT_0.3_2722.CSV
STEVENS;1,0;;;4;0,001;0,003;Traducao_STEVENS_1.0.CSV
STEVENS;0,9;;;4;0,002;0,0;Traducao_STEVENS_0.9.CSV
STEVENS;0,8;;;33746;0,33;0,319;Traducao_STEVENS_0.8.CSV
STEVENS;0,7;;;33746;0,215;0,362;Traducao_STEVENS_0.7.CSV
STEVENS;0,6;;;1564832;7,677;10,02;Traducao_STEVENS_0.6.CSV
STEVENS;1,0;4;;0;0,003;0,089;Traducao_STEVENS_1.0_4.CSV
STEVENS;0,9;4;;0;0,002;0,002;Traducao_STEVENS_0.9_4.CSV
STEVENS;0,8;4;;33607;0,128;0,185;Traducao_STEVENS_0.8_4.CSV
STEVENS;0,7;4;;33607;0,2;0,472;Traducao_STEVENS_0.7_4.CSV
STEVENS;0,6;4;;1564091;7,36;11,533;Traducao_STEVENS_0.6_4.CSV
STEVENS;1,0;;2722;0;0,002;0,118;Traducao_STEVENS_1.0_2722.CSV
STEVENS;0,9;;2722;0;0,016;0,002;Traducao_STEVENS_0.9_2722.CSV
STEVENS;0,8;;2722;0;0,029;0,001;Traducao_STEVENS_0.8_2722.CSV
STEVENS;0,7;;2722;0;0,001;0,0;Traducao_STEVENS_0.7_2722.CSV
STEVENS;0,6;;2722;0;0,001;0,271;Traducao_STEVENS_0.6_2722.CSV
STEVENS;0,5;;2722;0;0,002;0,002;Traducao_STEVENS_0.5_2722.CSV
STEVENS;0,4;;2722;0;0,009;0,002;Traducao_STEVENS_0.4_2722.CSV
STEVENS;0,3;;2722;31;0,003;0,002;Traducao_STEVENS_0.3_2722.CSV
LUCENTI;1,0;;;9;0,001;0,0;Traducao_LUCENTI_1.0.CSV
LUCENTI;0,9;;;9;0,003;0,0;Traducao_LUCENTI_0.9.CSV
LUCENTI;0,8;;;145;0,002;0,001;Traducao_LUCENTI_0.8.CSV
LUCENTI;0,7;;;145;0,002;0,001;Traducao_LUCENTI_0.7.CSV
LUCENTI;0,6;;;3256;0,008;0,011;Traducao_LUCENTI_0.6.CSV
LUCENTI;0,5;;;3256;0,009;0,01;Traducao_LUCENTI_0.5.CSV
LUCENTI;0,4;;;5630784;20,093;49,941;Traducao_LUCENTI_0.4.CSV
LUCENTI;1,0;4;;0;0,001;0,001;Traducao_LUCENTI_1.0_4.CSV
LUCENTI;0,9;4;;0;0,001;0,001;Traducao_LUCENTI_0.9_4.CSV
LUCENTI;0,8;4;;63;0,002;0,128;Traducao_LUCENTI_0.8_4.CSV
LUCENTI;0,7;4;;63;0,002;0,001;Traducao_LUCENTI_0.7_4.CSV
LUCENTI;0,6;4;;2766;0,015;0,012;Traducao_LUCENTI_0.6_4.CSV
LUCENTI;0,5;4;;2766;0,012;0,012;Traducao_LUCENTI_0.5_4.CSV
LUCENTI;0,4;4;;5628607;19,097;56,281;Traducao_LUCENTI_0.4_4.CSV
LUCENTI;1,0;;2722;0;0,013;0,001;Traducao_LUCENTI_1.0_2722.CSV
LUCENTI;0,9;;2722;0;0,002;0,002;Traducao_LUCENTI_0.9_2722.CSV
LUCENTI;0,8;;2722;0;0,002;0,001;Traducao_LUCENTI_0.8_2722.CSV
LUCENTI;0,7;;2722;0;0,001;0,001;Traducao_LUCENTI_0.7_2722.CSV
LUCENTI;0,6;;2722;0;0,001;0,001;Traducao_LUCENTI_0.6_2722.CSV
LUCENTI;0,5;;2722;0;0,001;0,001;Traducao_LUCENTI_0.5_2722.CSV
LUCENTI;0,4;;2722;0;0,001;0,002;Traducao_LUCENTI_0.4_2722.CSV
LUCENTI;0,3;;2722;0;0,001;0,001;Traducao_LUCENTI_0.3_2722.CSV
BOZBAYEV;1,0;;;5;0,001;0,01;Traducao_BOZBAYEV_1.0.CSV
BOZBAYEV;0,9;;;5;0,0;0,001;Traducao_BOZBAYEV_0.9.CSV
BOZBAYEV;0,8;;;5;0,001;0,005;Traducao_BOZBAYEV_0.8.CSV
BOZBAYEV;0,7;;;1029;0,004;0,006;Traducao_BOZBAYEV_0.7.CSV
BOZBAYEV;0,6;;;1029;0,005;0,007;Traducao_BOZBAYEV_0.6.CSV
BOZBAYEV;0,5;;;2036473;8,067;18,794;Traducao_BOZBAYEV_0.5.CSV
BOZBAYEV;1,0;4;;0;0,001;0,001;Traducao_BOZBAYEV_1.0_4.CSV
BOZBAYEV;0,9;4;;0;0,031;0,001;Traducao_BOZBAYEV_0.9_4.CSV
BOZBAYEV;0,8;4;;0;0,001;0,001;Traducao_BOZBAYEV_0.8_4.CSV
BOZBAYEV;0,7;4;;922;0,005;0,005;Traducao_BOZBAYEV_0.7_4.CSV
BOZBAYEV;0,6;4;;922;0,005;0,006;Traducao_BOZBAYEV_0.6_4.CSV
BOZBAYEV;0,5;4;;2035085;8,197;16,413;Traducao_BOZBAYEV_0.5_4.CSV
BOZBAYEV;1,0;;2722;0;0,0;0,001;Traducao_BOZBAYEV_1.0_2722.CSV
BOZBAYEV;0,9;;2722;0;0,001;0,001;Traducao_BOZBAYEV_0.9_2722.CSV
BOZBAYEV;0,8;;2722;0;0,001;0,0;Traducao_BOZBAYEV_0.8_2722.CSV
BOZBAYEV;0,7;;2722;0;0,001;0,029;Traducao_BOZBAYEV_0.7_2722.CSV
BOZBAYEV;0,6;;2722;0;0,001;0,001;Traducao_BOZBAYEV_0.6_2722.CSV
BOZBAYEV;0,5;;2722;0;0,001;0,001;Traducao_BOZBAYEV_0.5_2722.CSV
BOZBAYEV;0,4;;2722;0;0,001;0,001;Traducao_BOZBAYEV_0.4_2722.CSV
BOZBAYEV;0,3;;2722;0;0,001;0,0;Traducao_BOZBAYEV_0.3_2722.CSV
NAKAI;1,0;;;87934;1,25;0,776;Traducao_NAKAI_1.0.CSV
NAKAI;0,9;;;87934;0,792;0,956;Traducao_NAKAI_0.9.CSV
NAKAI;0,8;;;87934;0,525;1,162;Traducao_NAKAI_0.8.CSV
NAKAI;1,0;4;;87498;0,743;0,944;Traducao_NAKAI_1.0_4.CSV
NAKAI;0,9;4;;87498;0,563;1,099;Traducao_NAKAI_0.9_4.CSV
NAKAI;0,8;4;;87498;0,536;1,247;Traducao_NAKAI_0.8_4.CSV
NAKAI;1,0;;2722;0;0,001;0,001;Traducao_NAKAI_1.0_2722.CSV
NAKAI;0,9;;2722;0;0,001;0,001;Traducao_NAKAI_0.9_2722.CSV
NAKAI;0,8;;2722;0;0,001;0,001;Traducao_NAKAI_0.8_2722.CSV
MARIJANOVIC;1,0;;;69758;0,244;0,588;Traducao_MARIJANOVIC_1.0.CSV
MARIJANOVIC;0,9;;;69758;0,43;0,567;Traducao_MARIJANOVIC_0.9.CSV
MARIJANOVIC;0,8;;;69758;0,28;0,473;Traducao_MARIJANOVIC_0.8.CSV
MARIJANOVIC;0,7;;;69758;0,176;0,553;Traducao_MARIJANOVIC_0.7.CSV
MARIJANOVIC;1,0;4;;69054;0,278;0,432;Traducao_MARIJANOVIC_1.0_4.CSV
MARIJANOVIC;0,9;4;;69054;0,141;0,732;Traducao_MARIJANOVIC_0.9_4.CSV
MARIJANOVIC;0,8;4;;69054;0,395;0,606;Traducao_MARIJANOVIC_0.8_4.CSV
MARIJANOVIC;0,7;4;;69054;0,492;0,794;Traducao_MARIJANOVIC_0.7_4.CSV
MARIJANOVIC;1,0;;2722;0;0,001;0,001;Traducao_MARIJANOVIC_1.0_2722.CSV
MARIJANOVIC;0,9;;2722;0;0,001;0,006;Traducao_MARIJANOVIC_0.9_2722.CSV
MARIJANOVIC;0,8;;2722;0;0,001;0,001;Traducao_MARIJANOVIC_0.8_2722.CSV
MARIJANOVIC;0,7;;2722;0;0,001;0,001;Traducao_MARIJANOVIC_0.7_2722.CSV
