JUDOCA;IND_SUSTENTACAO;TAM_MIN_PADRAO;ITENS_OBRIGATORIOS;NUM_PADROES;TEMPO_ALGORITMO (s);TEMPO_TRADUCAO (s);ARQUIVO
BISCHOF;1,0;;;10;0,031;0,009;Traducao_BISCHOF_1.0.CSV
BISCHOF;0,9;;;67;0,027;0,015;Traducao_BISCHOF_0.9.CSV
BISCHOF;0,8;;;223;0,033;0,023;Traducao_BISCHOF_0.8.CSV
BISCHOF;0,7;;;772;0,053;0,098;Traducao_BISCHOF_0.7.CSV
BISCHOF;0,6;;;7765;0,257;0,681;Traducao_BISCHOF_0.6.CSV
BISCHOF;0,5;;;106782;2,383;2,005;Traducao_BISCHOF_0.5.CSV
BISCHOF;1,0;4;;0;0,007;0,001;Traducao_BISCHOF_1.0_4.CSV
BISCHOF;0,9;4;;30;0,011;0,002;Traducao_BISCHOF_0.9_4.CSV
BISCHOF;0,8;4;;167;0,012;0,003;Traducao_BISCHOF_0.8_4.CSV
BISCHOF;0,7;4;;665;0,012;0,016;Traducao_BISCHOF_0.7_4.CSV
BISCHOF;0,6;4;;7497;0,371;0,148;Traducao_BISCHOF_0.6_4.CSV
BISCHOF;0,5;4;;106256;1,047;1,509;Traducao_BISCHOF_0.5_4.CSV
BISCHOF;0,4;4;;1585536;10,438;15,798;Traducao_BISCHOF_0.4_4.CSV
BISCHOF;1,0;;2722;0;0,002;0,001;Traducao_BISCHOF_1.0_2722.CSV
BISCHOF;0,9;;2722;0;0,001;0,001;Traducao_BISCHOF_0.9_2722.CSV
BISCHOF;0,8;;2722;0;0,011;0,007;Traducao_BISCHOF_0.8_2722.CSV
BISCHOF;0,7;;2722;0;0,002;0,0;Traducao_BISCHOF_0.7_2722.CSV
BISCHOF;0,6;;2722;0;0,001;0,001;Traducao_BISCHOF_0.6_2722.CSV
BISCHOF;0,5;;2722;0;0,002;0,001;Traducao_BISCHOF_0.5_2722.CSV
BISCHOF;0,4;;2722;0;0,002;0,002;Traducao_BISCHOF_0.4_2722.CSV
BISCHOF;0,3;;2722;0;0,002;0,001;Traducao_BISCHOF_0.3_2722.CSV
GUILHEIRO;1,0;;;18;0,008;0,001;Traducao_GUILHEIRO_1.0.CSV
GUILHEIRO;0,9;;;231;0,006;0,007;Traducao_GUILHEIRO_0.9.CSV
GUILHEIRO;0,8;;;9233;0,205;0,173;Traducao_GUILHEIRO_0.8.CSV
GUILHEIRO;0,7;;;1090767;12,06;11,561;Traducao_GUILHEIRO_0.7.CSV
GUILHEIRO;1,0;4;;0;0,002;0,001;Traducao_GUILHEIRO_1.0_4.CSV
GUILHEIRO;0,9;4;;157;0,004;0,001;Traducao_GUILHEIRO_0.9_4.CSV
GUILHEIRO;0,8;4;;9075;0,1;0,073;Traducao_GUILHEIRO_0.8_4.CSV
GUILHEIRO;0,7;4;;1090404;12,017;13,191;Traducao_GUILHEIRO_0.7_4.CSV
GUILHEIRO;1,0;;2722;0;0,001;0,001;Traducao_GUILHEIRO_1.0_2722.CSV
GUILHEIRO;0,9;;2722;0;0,002;0,006;Traducao_GUILHEIRO_0.9_2722.CSV
GUILHEIRO;0,8;;2722;0;0,002;0,002;Traducao_GUILHEIRO_0.8_2722.CSV
GUILHEIRO;0,7;;2722;0;0,002;0,001;Traducao_GUILHEIRO_0.7_2722.CSV
GUILHEIRO;0,6;;2722;0;0,002;0,001;Traducao_GUILHEIRO_0.6_2722.CSV
GUILHEIRO;0,5;;2722;0;0,001;0,001;Traducao_GUILHEIRO_0.5_2722.CSV
GUILHEIRO;0,4;;2722;0;0,002;0,001;Traducao_GUILHEIRO_0.4_2722.CSV
GUILHEIRO;0,3;;2722;37;0,022;0,001;Traducao_GUILHEIRO_0.3_2722.CSV
VALOIS-FORTIER;1,0;;;1;0,001;0,001;Traducao_VALOIS-FORTIER_1.0.CSV
VALOIS-FORTIER;0,9;;;1;0,002;0,0;Traducao_VALOIS-FORTIER_0.9.CSV
VALOIS-FORTIER;0,8;;;19;0,002;0,001;Traducao_VALOIS-FORTIER_0.8.CSV
VALOIS-FORTIER;0,7;;;655;0,011;0,005;Traducao_VALOIS-FORTIER_0.7.CSV
VALOIS-FORTIER;0,6;;;51379;0,691;0,567;Traducao_VALOIS-FORTIER_0.6.CSV
VALOIS-FORTIER;0,5;;;449329;3,192;3,049;Traducao_VALOIS-FORTIER_0.5.CSV
VALOIS-FORTIER;1,0;4;;0;0,001;0,0;Traducao_VALOIS-FORTIER_1.0_4.CSV
VALOIS-FORTIER;0,9;4;;0;0,001;0,001;Traducao_VALOIS-FORTIER_0.9_4.CSV
VALOIS-FORTIER;0,8;4;;3;0,001;0,042;Traducao_VALOIS-FORTIER_0.8_4.CSV
VALOIS-FORTIER;0,7;4;;549;0,005;0,005;Traducao_VALOIS-FORTIER_0.7_4.CSV
VALOIS-FORTIER;0,6;4;;51065;0,343;0,594;Traducao_VALOIS-FORTIER_0.6_4.CSV
VALOIS-FORTIER;0,5;4;;448602;3,698;3,447;Traducao_VALOIS-FORTIER_0.5_4.CSV
VALOIS-FORTIER;1,0;;2722;0;0,046;0,002;Traducao_VALOIS-FORTIER_1.0_2722.CSV
VALOIS-FORTIER;0,9;;2722;0;0,001;0,001;Traducao_VALOIS-FORTIER_0.9_2722.CSV
VALOIS-FORTIER;0,8;;2722;0;0,002;0,009;Traducao_VALOIS-FORTIER_0.8_2722.CSV
VALOIS-FORTIER;0,7;;2722;0;0,002;0,001;Traducao_VALOIS-FORTIER_0.7_2722.CSV
VALOIS-FORTIER;0,6;;2722;0;0,002;0,001;Traducao_VALOIS-FORTIER_0.6_2722.CSV
VALOIS-FORTIER;0,5;;2722;0;0,001;0,001;Traducao_VALOIS-FORTIER_0.5_2722.CSV
VALOIS-FORTIER;0,4;;2722;0;0,001;0,001;Traducao_VALOIS-FORTIER_0.4_2722.CSV
VALOIS-FORTIER;0,3;;2722;10;0,001;0,001;Traducao_VALOIS-FORTIER_0.3_2722.CSV
ELMONT, G;1,0;;;79;0,002;0,001;Traducao_ELMONT, G_1.0.CSV
ELMONT, G;0,9;;;79;0,002;0,002;Traducao_ELMONT, G_0.9.CSV
ELMONT, G;0,8;;;11052;0,146;0,097;Traducao_ELMONT, G_0.8.CSV
ELMONT, G;0,7;;;140719;1,889;1,518;Traducao_ELMONT, G_0.7.CSV
ELMONT, G;0,6;;;1196445;9,162;10,31;Traducao_ELMONT, G_0.6.CSV
ELMONT, G;1,0;4;;40;0,002;0,001;Traducao_ELMONT, G_1.0_4.CSV
ELMONT, G;0,9;4;;40;0,036;0,002;Traducao_ELMONT, G_0.9_4.CSV
ELMONT, G;0,8;4;;10900;0,096;0,112;Traducao_ELMONT, G_0.8_4.CSV
ELMONT, G;0,7;4;;140308;1,579;1,042;Traducao_ELMONT, G_0.7_4.CSV
ELMONT, G;0,6;4;;1195376;7,876;11,648;Traducao_ELMONT, G_0.6_4.CSV
ELMONT, G;1,0;;2722;0;0,001;0,001;Traducao_ELMONT, G_1.0_2722.CSV
ELMONT, G;0,9;;2722;0;0,001;0,001;Traducao_ELMONT, G_0.9_2722.CSV
ELMONT, G;0,8;;2722;0;0,001;0,001;Traducao_ELMONT, G_0.8_2722.CSV
ELMONT, G;0,7;;2722;0;0,002;0,0;Traducao_ELMONT, G_0.7_2722.CSV
ELMONT, G;0,6;;2722;0;0,015;0,001;Traducao_ELMONT, G_0.6_2722.CSV
ELMONT, G;0,5;;2722;0;0,001;0,0;Traducao_ELMONT, G_0.5_2722.CSV
ELMONT, G;0,4;;2722;0;0,002;0,001;Traducao_ELMONT, G_0.4_2722.CSV
ELMONT, G;0,3;;2722;0;0,001;0,001;Traducao_ELMONT, G_0.3_2722.CSV
SCHMITT;1,0;;;155;0,003;0,002;Traducao_SCHMITT_1.0.CSV
SCHMITT;0,9;;;155;0,002;0,002;Traducao_SCHMITT_0.9.CSV
SCHMITT;0,8;;;339276;2,947;2,893;Traducao_SCHMITT_0.8.CSV
SCHMITT;1,0;4;;86;0,002;0,002;Traducao_SCHMITT_1.0_4.CSV
SCHMITT;0,9;4;;86;0,024;0,001;Traducao_SCHMITT_0.9_4.CSV
SCHMITT;0,8;4;;339047;2,374;3,166;Traducao_SCHMITT_0.8_4.CSV
SCHMITT;1,0;;2722;0;0,001;0,002;Traducao_SCHMITT_1.0_2722.CSV
SCHMITT;0,9;;2722;0;0,001;0,1;Traducao_SCHMITT_0.9_2722.CSV
SCHMITT;0,8;;2722;0;0,002;0,002;Traducao_SCHMITT_0.8_2722.CSV
SCHMITT;0,7;;2722;0;0,002;0,001;Traducao_SCHMITT_0.7_2722.CSV
SCHMITT;0,6;;2722;0;0,001;0,001;Traducao_SCHMITT_0.6_2722.CSV
SCHMITT;0,5;;2722;0;0,003;0,002;Traducao_SCHMITT_0.5_2722.CSV
