JUDOCA;IND_SUSTENTACAO;TAM_MIN_PADRAO;ITENS_OBRIGATORIOS;NUM_PADROES;TEMPO_ALGORITMO (s);TEMPO_TRADUCAO (s);ARQUIVO
VALOIS-FORTIER;0,7;;2722;0;0,0;0,0;Traducao_VALOIS-FORTIER_0.7_2722.CSV
VALOIS-FORTIER;0,6;;2722;0;0,016;0,0;Traducao_VALOIS-FORTIER_0.6_2722.CSV
VALOIS-FORTIER;0,5;;2722;0;0,0;0,0;Traducao_VALOIS-FORTIER_0.5_2722.CSV
VALOIS-FORTIER;0,4;;2722;0;0,0;0,0;Traducao_VALOIS-FORTIER_0.4_2722.CSV
VALOIS-FORTIER;0,3;;2722;20;0,0;0,0;Traducao_VALOIS-FORTIER_0.3_2722.CSV
ELMONT, G;1,0;;;103;0,016;0,0;Traducao_ELMONT, G_1.0.CSV
ELMONT, G;0,9;;;103;0,0;0,0;Traducao_ELMONT, G_0.9.CSV
ELMONT, G;0,8;;;11756;0,094;0,094;Traducao_ELMONT, G_0.8.CSV
ELMONT, G;0,7;;;230539;1,593;1,422;Traducao_ELMONT, G_0.7.CSV
ELMONT, G;0,6;;;1784516;8,763;11,222;Traducao_ELMONT, G_0.6.CSV
ELMONT, G;1,0;4;;63;0,0;0,0;Traducao_ELMONT, G_1.0_4.CSV
ELMONT, G;0,9;4;;63;0,0;0,0;Traducao_ELMONT, G_0.9_4.CSV
ELMONT, G;0,8;4;;11611;0,063;0,062;Traducao_ELMONT, G_0.8_4.CSV
ELMONT, G;0,7;4;;230164;1,406;1,516;Traducao_ELMONT, G_0.7_4.CSV
ELMONT, G;0,6;4;;1783529;8,516;10,891;Traducao_ELMONT, G_0.6_4.CSV
ELMONT, G;1,0;;2722;0;0,0;0,0;Traducao_ELMONT, G_1.0_2722.CSV
ELMONT, G;0,9;;2722;0;0,0;0,0;Traducao_ELMONT, G_0.9_2722.CSV
ELMONT, G;0,8;;2722;0;0,0;0,0;Traducao_ELMONT, G_0.8_2722.CSV
ELMONT, G;0,7;;2722;0;0,0;0,0;Traducao_ELMONT, G_0.7_2722.CSV
ELMONT, G;0,6;;2722;0;0,0;0,0;Traducao_ELMONT, G_0.6_2722.CSV
ELMONT, G;0,5;;2722;0;0,0;0,0;Traducao_ELMONT, G_0.5_2722.CSV
ELMONT, G;0,4;;2722;0;0,0;0,0;Traducao_ELMONT, G_0.4_2722.CSV
ELMONT, G;0,3;;2722;0;0,0;0,0;Traducao_ELMONT, G_0.3_2722.CSV
SCHMITT;1,0;;;200;0,0;0,015;Traducao_SCHMITT_1.0.CSV
SCHMITT;0,9;;;200;0,0;0,0;Traducao_SCHMITT_0.9.CSV
SCHMITT;0,8;;;217141;1,297;1,485;Traducao_SCHMITT_0.8.CSV
SCHMITT;0,7;;;1233652;4,704;7,64;Traducao_SCHMITT_0.7.CSV
SCHMITT;1,0;4;;117;0,0;0,0;Traducao_SCHMITT_1.0_4.CSV
SCHMITT;0,9;4;;117;0,015;0,0;Traducao_SCHMITT_0.9_4.CSV
SCHMITT;0,8;4;;216916;0,766;1,985;Traducao_SCHMITT_0.8_4.CSV
SCHMITT;0,7;4;;1233357;4,453;7,594;Traducao_SCHMITT_0.7_4.CSV
SCHMITT;1,0;;2722;0;0,0;0,0;Traducao_SCHMITT_1.0_2722.CSV
SCHMITT;0,9;;2722;0;0,0;0,0;Traducao_SCHMITT_0.9_2722.CSV
SCHMITT;0,8;;2722;0;0,0;0,0;Traducao_SCHMITT_0.8_2722.CSV
SCHMITT;0,7;;2722;0;0,0;0,0;Traducao_SCHMITT_0.7_2722.CSV
SCHMITT;0,6;;2722;0;0,0;0,0;Traducao_SCHMITT_0.6_2722.CSV
SCHMITT;0,5;;2722;0;0,015;0,0;Traducao_SCHMITT_0.5_2722.CSV
SCHMITT;0,4;;2722;0;0,0;0,0;Traducao_SCHMITT_0.4_2722.CSV
SCHMITT;0,3;;2722;0;0,0;0,0;Traducao_SCHMITT_0.3_2722.CSV
STEVENS;1,0;;;4;0,0;0,0;Traducao_STEVENS_1.0.CSV
STEVENS;0,9;;;4;0,0;0,0;Traducao_STEVENS_0.9.CSV
STEVENS;0,8;;;31077;0,203;0,14;Traducao_STEVENS_0.8.CSV
STEVENS;0,7;;;31077;0,141;0,203;Traducao_STEVENS_0.7.CSV
STEVENS;0,6;;;1164478;4,444;6,903;Traducao_STEVENS_0.6.CSV
STEVENS;1,0;4;;0;0,001;0,0;Traducao_STEVENS_1.0_4.CSV
STEVENS;0,9;4;;0;0,0;0,0;Traducao_STEVENS_0.9_4.CSV
STEVENS;0,8;4;;30949;0,188;0,172;Traducao_STEVENS_0.8_4.CSV
STEVENS;0,7;4;;30949;0,14;0,188;Traducao_STEVENS_0.7_4.CSV
STEVENS;0,6;4;;1163809;4,781;6,891;Traducao_STEVENS_0.6_4.CSV
STEVENS;1,0;;2722;0;0,0;0,0;Traducao_STEVENS_1.0_2722.CSV
STEVENS;0,9;;2722;0;0,0;0,0;Traducao_STEVENS_0.9_2722.CSV
STEVENS;0,8;;2722;0;0,0;0,016;Traducao_STEVENS_0.8_2722.CSV
STEVENS;0,7;;2722;0;0,0;0,0;Traducao_STEVENS_0.7_2722.CSV
STEVENS;0,6;;2722;0;0,0;0,0;Traducao_STEVENS_0.6_2722.CSV
STEVENS;0,5;;2722;0;0,016;0,0;Traducao_STEVENS_0.5_2722.CSV
STEVENS;0,4;;2722;0;0,0;0,0;Traducao_STEVENS_0.4_2722.CSV
STEVENS;0,3;;2722;19;0,0;0,0;Traducao_STEVENS_0.3_2722.CSV
LUCENTI;1,0;;;7;0,0;0,0;Traducao_LUCENTI_1.0.CSV
LUCENTI;0,9;;;7;0,0;0,0;Traducao_LUCENTI_0.9.CSV
LUCENTI;0,8;;;138;0,016;0,0;Traducao_LUCENTI_0.8.CSV
LUCENTI;0,7;;;138;0,0;0,14;Traducao_LUCENTI_0.7.CSV
LUCENTI;0,6;;;2837;0,016;0,016;Traducao_LUCENTI_0.6.CSV
LUCENTI;0,5;;;2837;0,0;0,015;Traducao_LUCENTI_0.5.CSV
LUCENTI;0,4;;;5757309;17,957;51,034;Traducao_LUCENTI_0.4.CSV
LUCENTI;1,0;4;;0;0,0;0,0;Traducao_LUCENTI_1.0_4.CSV
LUCENTI;0,9;4;;0;0,0;0,0;Traducao_LUCENTI_0.9_4.CSV
LUCENTI;0,8;4;;55;0,0;0,015;Traducao_LUCENTI_0.8_4.CSV
LUCENTI;0,7;4;;55;0,0;0,0;Traducao_LUCENTI_0.7_4.CSV
LUCENTI;0,6;4;;2368;0,032;0,015;Traducao_LUCENTI_0.6_4.CSV
LUCENTI;0,5;4;;2368;0,016;0,031;Traducao_LUCENTI_0.5_4.CSV
LUCENTI;0,4;4;;5755228;26,287;32,705;Traducao_LUCENTI_0.4_4.CSV
LUCENTI;1,0;;2722;0;0,001;0,0;Traducao_LUCENTI_1.0_2722.CSV
LUCENTI;0,9;;2722;0;0,0;0,0;Traducao_LUCENTI_0.9_2722.CSV
LUCENTI;0,8;;2722;0;0,0;0,0;Traducao_LUCENTI_0.8_2722.CSV
LUCENTI;0,7;;2722;0;0,0;0,0;Traducao_LUCENTI_0.7_2722.CSV
LUCENTI;0,6;;2722;0;0,0;0,0;Traducao_LUCENTI_0.6_2722.CSV
LUCENTI;0,5;;2722;0;0,0;0,015;Traducao_LUCENTI_0.5_2722.CSV
LUCENTI;0,4;;2722;0;0,0;0,0;Traducao_LUCENTI_0.4_2722.CSV
LUCENTI;0,3;;2722;0;0,0;0,0;Traducao_LUCENTI_0.3_2722.CSV
BOZBAYEV;1,0;;;5;0,0;0,0;Traducao_BOZBAYEV_1.0.CSV
BOZBAYEV;0,9;;;5;0,0;0,0;Traducao_BOZBAYEV_0.9.CSV
BOZBAYEV;0,8;;;5;0,0;0,0;Traducao_BOZBAYEV_0.8.CSV
BOZBAYEV;0,7;;;862;0,0;0,0;Traducao_BOZBAYEV_0.7.CSV
BOZBAYEV;0,6;;;862;0,0;0,046;Traducao_BOZBAYEV_0.6.CSV
BOZBAYEV;0,5;;;782808;2,438;4,264;Traducao_BOZBAYEV_0.5.CSV
BOZBAYEV;1,0;4;;0;0,002;0,0;Traducao_BOZBAYEV_1.0_4.CSV
BOZBAYEV;0,9;4;;0;0,016;0,0;Traducao_BOZBAYEV_0.9_4.CSV
BOZBAYEV;0,8;4;;0;0,0;0,0;Traducao_BOZBAYEV_0.8_4.CSV
BOZBAYEV;0,7;4;;758;0,0;0,0;Traducao_BOZBAYEV_0.7_4.CSV
BOZBAYEV;0,6;4;;758;0,015;0,0;Traducao_BOZBAYEV_0.6_4.CSV
