id_luta;sequencia;momento;id_quem_faz;id_quem_recebe;id_acao;id_tecnica;id_direcao;id_pontuacao;id_motivo_penalizacao
3;4;0001-01-01 00:00:29.575-03:12:48 BC;2;4;12;;;;
3;5;0001-01-01 00:00:41.211-03:12:48 BC;2;4;17;40;2;;
3;6;0001-01-01 00:00:42.649-03:12:48 BC;1;;24;;;;
3;7;0001-01-01 00:00:54-03:12:48 BC;2;4;2;;;;
3;8;0001-01-01 00:01:40.322-03:12:48 BC;2;4;4;;;;
3;9;0001-01-01 00:01:43.882-03:12:48 BC;2;4;9;;;;
3;10;0001-01-01 00:01:54.353-03:12:48 BC;2;4;9;;;;
3;11;0001-01-01 00:01:55.667-03:12:48 BC;2;4;43;;;;
3;12;0001-01-01 00:01:56.69-03:12:48 BC;2;4;46;;;;
3;13;0001-01-01 00:02:14.784-03:12:48 BC;1;;24;;;;
3;14;0001-01-01 00:02:25.817-03:12:48 BC;2;4;2;;;;
3;15;0001-01-01 00:02:34.192-03:12:48 BC;2;4;9;;;;
3;16;0001-01-01 00:02:38.104-03:12:48 BC;2;4;17;63;2;;
3;17;0001-01-01 00:02:38.104-03:12:48 BC;2;4;9;;;;
3;18;0001-01-01 00:03:21.109-03:12:48 BC;2;4;55;;;;
3;19;0001-01-01 00:03:28.569-03:12:48 BC;1;;24;;;;
3;20;0001-01-01 00:03:38.471-03:12:48 BC;2;4;32;;;;
3;21;0001-01-01 00:03:42.297-03:12:48 BC;2;4;2;;;;
3;22;0001-01-01 00:03:43.967-03:12:48 BC;2;4;4;;;;
3;23;0001-01-01 00:03:45.617-03:12:48 BC;2;4;51;;;;
3;24;0001-01-01 00:03:50.689-03:12:48 BC;1;;24;;;;
3;25;0001-01-01 00:04:00.757-03:12:48 BC;2;4;2;;;;
3;26;0001-01-01 00:04:03.939-03:12:48 BC;2;4;4;;;;
3;27;0001-01-01 00:04:06.135-03:12:48 BC;2;4;51;;;;
3;28;0001-01-01 00:04:12.061-03:12:48 BC;2;4;55;;;;
3;29;0001-01-01 00:04:16.236-03:12:48 BC;2;4;42;;;;
3;30;0001-01-01 00:04:17.123-03:12:48 BC;2;4;46;;;;
3;31;0001-01-01 00:05:00.823-03:12:48 BC;1;;31;;;;
3;32;0001-01-01 00:05:09.59-03:12:48 BC;2;4;2;;;;
3;33;0001-01-01 00:05:16.845-03:12:48 BC;2;4;9;;;;
3;34;0001-01-01 00:05:26.297-03:12:48 BC;2;4;46;;;;
3;35;0001-01-01 00:05:31.305-03:12:48 BC;1;;24;;;;
3;36;0001-01-01 00:05:39.7-03:12:48 BC;2;4;2;;;;
3;37;0001-01-01 00:05:43.912-03:12:48 BC;2;4;11;;;;
3;38;0001-01-01 00:05:47.094-03:12:48 BC;2;4;20;;;;
3;39;0001-01-01 00:05:47.094-03:12:48 BC;2;4;46;;;;
3;40;0001-01-01 00:05:57.226-03:12:48 BC;1;;24;;;;
3;41;0001-01-01 00:06:45.654-03:12:48 BC;2;4;2;;;;
3;42;0001-01-01 00:06:49.987-03:12:48 BC;2;4;4;;;;
3;43;0001-01-01 00:06:52.283-03:12:48 BC;2;4;12;;;;
3;44;0001-01-01 00:07:02.118-03:12:48 BC;1;;31;;;;
3;45;0001-01-01 00:07:14.163-03:12:48 BC;2;4;2;;;;
3;46;0001-01-01 00:07:21.112-03:12:48 BC;2;4;4;;;;
3;47;0001-01-01 00:07:23.155-03:12:48 BC;2;4;12;;;;
3;48;0001-01-01 00:07:38.68-03:12:48 BC;2;4;17;70;6;;
3;49;0001-01-01 00:08:20.67-03:12:48 BC;2;4;49;;;;
3;50;0001-01-01 00:08:24.082-03:12:48 BC;1;;24;;;;
3;51;0001-01-01 00:08:29.224-03:12:48 BC;2;4;2;;;;
3;52;0001-01-01 00:08:30.959-03:12:48 BC;2;4;4;;;;
3;53;0001-01-01 00:08:32.095-03:12:48 BC;2;4;9;;;;
3;54;0001-01-01 00:08:33.953-03:12:48 BC;1;;24;;;;
3;55;0001-01-01 00:08:43.56-03:12:48 BC;2;4;2;;;;
3;56;0001-01-01 00:08:44.863-03:12:48 BC;2;4;4;;;;
3;57;0001-01-01 00:08:46.357-03:12:48 BC;2;4;12;;;;
3;58;0001-01-01 00:08:53.49-03:12:48 BC;2;4;17;38;7;;
3;59;0001-01-01 00:08:53.49-03:12:48 BC;2;4;12;;;;
3;60;0001-01-01 00:08:55.868-03:12:48 BC;2;4;18;;;;
3;61;0001-01-01 00:08:56.038-03:12:48 BC;2;4;46;;;;
3;62;0001-01-01 00:08:57.706-03:12:48 BC;1;;24;;;;
3;63;0001-01-01 00:09:05.118-03:12:48 BC;2;4;2;;;;
3;64;0001-01-01 00:09:07.263-03:12:48 BC;2;4;4;;;;
3;65;0001-01-01 00:09:10.066-03:12:48 BC;2;4;12;;;;
3;66;0001-01-01 00:09:12.683-03:12:48 BC;2;4;17;63;2;;
3;67;0001-01-01 00:09:14.336-03:12:48 BC;2;4;12;;;;
3;68;0001-01-01 00:10:00.086-03:12:48 BC;2;4;17;134;4;;
3;69;0001-01-01 00:10:02.22-03:12:48 BC;2;4;44;;;;
3;70;0001-01-01 00:10:15.702-03:12:48 BC;1;;24;;;;
3;71;0001-01-01 00:10:22.936-03:12:48 BC;2;4;2;;;;
3;72;0001-01-01 00:10:24.089-03:12:48 BC;2;4;4;;;;
3;73;0001-01-01 00:10:26.129-03:12:48 BC;2;4;14;;;;
3;74;0001-01-01 00:10:31.219-03:12:48 BC;1;;24;;;;
3;75;0001-01-01 00:10:37.097-03:12:48 BC;1;;40;;;;
3;76;0001-01-01 00:11:42.333-03:12:48 BC;2;4;2;;;;
3;77;0001-01-01 00:11:43.126-03:12:48 BC;2;4;4;;;;
3;78;0001-01-01 00:11:44.597-03:12:48 BC;2;4;14;;;;
3;79;0001-01-01 00:11:46.326-03:12:48 BC;2;4;4;;;;
3;80;0001-01-01 00:11:48.081-03:12:48 BC;2;4;51;;;;
3;81;0001-01-01 00:11:50.464-03:12:48 BC;1;;31;;;;
4;1;0001-01-01 00:00:03.842-03:12:48 BC;2;25;2;;;;
4;2;0001-01-01 00:00:15.316-03:12:48 BC;2;25;4;;;;
4;3;0001-01-01 00:00:23.342-03:12:48 BC;2;25;16;;;;
4;4;0001-01-01 00:00:36.993-03:12:48 BC;2;25;17;7;7;2;
4;5;0001-01-01 00:00:38.644-03:12:48 BC;2;25;46;;;;
4;6;0001-01-01 00:01:44.846-03:12:48 BC;2;25;17;43;7;2;
4;7;0001-01-01 00:01:44.846-03:12:48 BC;2;25;27;;;;
5;1;0001-01-01 00:00:21.793-03:12:48 BC;2;54;2;;;;
5;2;0001-01-01 00:00:25.666-03:12:48 BC;2;54;4;;;;
5;3;0001-01-01 00:00:33.279-03:12:48 BC;2;54;9;;;;
5;4;0001-01-01 00:00:45.735-03:12:48 BC;2;54;55;;;;
5;5;0001-01-01 00:00:47.017-03:12:48 BC;2;54;42;;;;
5;6;0001-01-01 00:00:47.635-03:12:48 BC;1;;24;;;;
5;7;0001-01-01 00:00:54.386-03:12:48 BC;2;54;2;;;;
5;8;0001-01-01 00:00:55.814-03:12:48 BC;2;54;4;;;;
5;9;0001-01-01 00:01:47.678-03:12:48 BC;2;54;11;;;;
5;10;0001-01-01 00:01:50.213-03:12:48 BC;2;54;51;;;;
5;11;0001-01-01 00:01:52.835-03:12:48 BC;2;54;4;;;;
5;12;0001-01-01 00:01:58.317-03:12:48 BC;2;54;14;;;;
5;13;0001-01-01 00:01:58.317-03:12:48 BC;2;54;17;79;6;;
5;14;0001-01-01 00:01:59.844-03:12:48 BC;2;54;45;;;;
5;15;0001-01-01 00:02:02.937-03:12:48 BC;1;;24;;;;
5;16;0001-01-01 00:02:07.534-03:12:48 BC;1;;24;;;;
5;17;0001-01-01 00:02:18.712-03:12:48 BC;2;54;2;;;;
5;18;0001-01-01 00:02:21.036-03:12:48 BC;2;54;4;;;;
5;19;0001-01-01 00:02:24.14-03:12:48 BC;2;54;11;;;;
5;20;0001-01-01 00:02:25.564-03:12:48 BC;2;54;4;;;;
5;21;0001-01-01 00:02:27.968-03:12:48 BC;2;54;55;;;;
5;22;0001-01-01 00:03:24.338-03:12:48 BC;2;54;36;7;;;
5;23;0001-01-01 00:03:24.338-03:12:48 BC;2;54;55;;;;
5;24;0001-01-01 00:03:26.561-03:12:48 BC;1;;24;;;;
5;25;0001-01-01 00:03:32.149-03:12:48 BC;2;54;33;;;;
5;26;0001-01-01 00:03:35.34-03:12:48 BC;2;54;2;;;;
5;27;0001-01-01 00:03:36.765-03:12:48 BC;2;54;4;;;;
5;28;0001-01-01 00:03:40.491-03:12:48 BC;2;54;55;;;;
5;29;0001-01-01 00:03:42.897-03:12:48 BC;2;54;9;;;;
5;30;0001-01-01 00:03:46.801-03:12:48 BC;2;54;17;63;2;;
5;31;0001-01-01 00:03:47.24-03:12:48 BC;2;54;55;;;;
5;32;0001-01-01 00:03:55.286-03:12:48 BC;2;54;36;7;;;
5;33;0001-01-01 00:03:55.286-03:12:48 BC;2;54;55;;;;
5;34;0001-01-01 00:03:56.431-03:12:48 BC;2;54;18;;;;
5;35;0001-01-01 00:03:58.124-03:12:48 BC;1;;24;;;;
5;36;0001-01-01 00:04:07.125-03:12:48 BC;2;54;2;;;;
5;37;0001-01-01 00:04:09.651-03:12:48 BC;2;54;16;;;;
5;38;0001-01-01 00:04:18.41-03:12:48 BC;2;54;17;77;4;;
5;39;0001-01-01 00:04:18.977-03:12:48 BC;2;54;49;;;;
5;40;0001-01-01 00:05:01.378-03:12:48 BC;1;;24;;;;
5;41;0001-01-01 00:05:06.649-03:12:48 BC;2;54;33;;;;
5;42;0001-01-01 00:05:09.14-03:12:48 BC;2;54;2;;;;
5;43;0001-01-01 00:05:11.564-03:12:48 BC;2;54;9;;;;
5;44;0001-01-01 00:05:17.458-03:12:48 BC;2;54;55;;;;
5;45;0001-01-01 00:05:21.116-03:12:48 BC;2;54;18;;;;
5;46;0001-01-01 00:05:22.162-03:12:48 BC;1;;24;;;;
5;47;0001-01-01 00:05:36.286-03:12:48 BC;2;54;2;;;;
5;48;0001-01-01 00:05:43.097-03:12:48 BC;2;54;4;;;;
5;49;0001-01-01 00:05:47.78-03:12:48 BC;2;54;9;;;;
5;50;0001-01-01 00:05:56.4-03:12:48 BC;2;54;17;22;6;;
5;51;0001-01-01 00:05:57.553-03:12:48 BC;2;54;9;;;;
5;52;0001-01-01 00:05:59.601-03:12:48 BC;2;54;51;;;;
5;53;0001-01-01 00:06:49.391-03:12:48 BC;2;54;9;;;;
5;54;0001-01-01 00:06:59.548-03:12:48 BC;2;54;55;;;;
5;55;0001-01-01 00:07:02.471-03:12:48 BC;2;54;2;;;;
5;56;0001-01-01 00:07:08.505-03:12:48 BC;2;54;4;;;;
5;57;0001-01-01 00:07:11.067-03:12:48 BC;1;;41;;;;
5;58;0001-01-01 00:07:26.515-03:12:48 BC;2;54;2;;;;
5;59;0001-01-01 00:07:31.985-03:12:48 BC;2;54;4;;;;
5;60;0001-01-01 00:07:32.816-03:12:48 BC;2;54;9;;;;
5;61;0001-01-01 00:08:25.643-03:12:48 BC;2;54;18;;;;
5;62;0001-01-01 00:08:26.716-03:12:48 BC;2;54;44;;;;
5;63;0001-01-01 00:08:30.584-03:12:48 BC;1;;24;;;;
5;64;0001-01-01 00:08:36.206-03:12:48 BC;2;54;2;;;;
5;65;0001-01-01 00:08:38.873-03:12:48 BC;2;54;4;;;;
5;66;0001-01-01 00:08:42.716-03:12:48 BC;2;54;15;;;;
5;67;0001-01-01 00:08:45.963-03:12:48 BC;2;54;4;;;;
5;68;0001-01-01 00:08:54.506-03:12:48 BC;2;54;15;;;;
5;69;0001-01-01 00:08:55.654-03:12:48 BC;2;54;4;;;;
5;70;0001-01-01 00:08:59.809-03:12:48 BC;2;54;9;;;;
5;71;0001-01-01 00:09:04.593-03:12:48 BC;2;54;36;40;;;
5;72;0001-01-01 00:09:04.593-03:12:48 BC;2;54;36;7;;;
5;73;0001-01-01 00:09:04.593-03:12:48 BC;2;54;9;;;;
5;74;0001-01-01 00:09:07.236-03:12:48 BC;2;54;17;7;7;;
5;75;0001-01-01 00:09:07.685-03:12:48 BC;2;54;46;;;;
5;76;0001-01-01 00:10:00.564-03:12:48 BC;1;;24;;;;
5;77;0001-01-01 00:10:19.521-03:12:48 BC;2;54;2;;;;
5;78;0001-01-01 00:10:25.171-03:12:48 BC;2;54;4;;;;
5;79;0001-01-01 00:10:31.21-03:12:48 BC;2;54;18;;;;
5;80;0001-01-01 00:10:32.231-03:12:48 BC;1;;31;;;;
5;81;0001-01-01 00:10:40.811-03:12:48 BC;2;54;2;;;;
5;82;0001-01-01 00:10:43.249-03:12:48 BC;2;54;4;;;;
5;83;0001-01-01 00:10:44.145-03:12:48 BC;2;54;9;;;;
5;84;0001-01-01 00:10:48.341-03:12:48 BC;2;54;55;;;;
5;85;0001-01-01 00:10:50.208-03:12:48 BC;2;54;17;63;2;;
5;86;0001-01-01 00:10:51.141-03:12:48 BC;2;54;9;;;;
5;87;0001-01-01 00:10:52.269-03:12:48 BC;2;54;17;7;7;;
5;88;0001-01-01 00:10:52.269-03:12:48 BC;2;54;9;;;;
5;89;0001-01-01 00:10:55.046-03:12:48 BC;2;54;43;;;;
5;90;0001-01-01 00:10:56.058-03:12:48 BC;2;54;49;;;;
5;91;0001-01-01 00:10:58.61-03:12:48 BC;1;;24;;;;
5;92;0001-01-01 00:11:47.051-03:12:48 BC;2;54;2;;;;
5;93;0001-01-01 00:11:49.299-03:12:48 BC;2;54;4;;;;
5;94;0001-01-01 00:11:51.811-03:12:48 BC;2;54;42;;;;
5;95;0001-01-01 00:11:52.783-03:12:48 BC;2;54;27;;;;
6;1;0001-01-01 00:00:05.052-03:12:48 BC;2;41;32;;;;
6;2;0001-01-01 00:00:10.872-03:12:48 BC;2;41;2;;;;
6;3;0001-01-01 00:00:13.376-03:12:48 BC;2;41;4;;;;
6;4;0001-01-01 00:00:30.165-03:12:48 BC;2;41;14;;;;
6;5;0001-01-01 00:00:38.169-03:12:48 BC;2;41;16;;;;
