SUST.;ELEMENTOS;ACOES;PADRAO
4;4;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;4;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE ATAQUE) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (GOLA DIREITA)
4;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (TENTATIVA DE ATAQUE)
4;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (TENTATIVA DE ATAQUE) (ANTEROPOSTERIOR DIREITA)
4;4;4;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;4;4;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (TENTATIVA DE ATAQUE) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (GOLA DIREITA)
4;4;5;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE ATAQUE)
4;4;5;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE ATAQUE) (ANTEROPOSTERIOR DIREITA)
4;4;4;(ANTEROPOSTERIOR DIREITA) (TRANSI플O SEM ATAQUE) (TENTATIVA DE ATAQUE) (ANTEROPOSTERIOR DIREITA)
4;4;4;(ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;4;4;(ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE ATAQUE) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (GOLA DIREITA)
4;4;5;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE ATAQUE)
4;4;5;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE ATAQUE) (ANTEROPOSTERIOR DIREITA)
4;2;4;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA)
4;3;5;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
4;3;5;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (GOLA DIREITA)
4;4;6;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA) (GOLA DIREITA)
4;4;5;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;2;4;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA)
4;3;5;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;3;5;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (GOLA DIREITA)
4;4;6;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (TENTATIVA DE ATAQUE) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (TRANSI플O SEM ATAQUE) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (TRANSI플O SEM ATAQUE) (GOLA DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (TRANSI플O SEM ATAQUE) (TENTATIVA DE ATAQUE)
4;4;5;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (TRANSI플O SEM ATAQUE) (TENTATIVA DE ATAQUE) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (GOLA ESQUERDA E MANGA DIREITA) (GOLA DIREITA)
4;4;5;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (GOLA ESQUERDA E MANGA DIREITA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;4;4;(TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;4;4;(TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE ATAQUE) (ANTEROPOSTERIOR DIREITA)
4;3;4;(TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (GOLA DIREITA)
4;4;5;(TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;4;4;(TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (GOLA DIREITA)
4;4;5;(TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;4;4;(TENTATIVA DE PEGADA) (TRANSI플O SEM ATAQUE) (TENTATIVA DE ATAQUE) (ANTEROPOSTERIOR DIREITA)
4;4;4;(TENTATIVA DE PEGADA) (GOLA ESQUERDA E MANGA DIREITA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (GOLA DIREITA) (ANTEROPOSTERIOR DIREITA)
4;3;4;(TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE ATAQUE) (ANTEROPOSTERIOR DIREITA)
