SUST.;ELEMENTOS;ACOES;PADRAO
7;3;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
7;2;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA)
7;3;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
7;3;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
7;4;4;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
7;3;4;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA)
7;3;5;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA)
7;3;4;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA)
7;4;5;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
7;4;4;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
7;3;4;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA)
7;4;5;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
7;4;4;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
7;3;4;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
