SUST.;ELEMENTOS;ACOES;PADRAO
9;1;1;(ANTEROPOSTERIOR DIREITA)
8;1;1;(TENTATIVA DE PEGADA)
8;1;1;(MANGA DIREITA)
9;1;1;(GOLA ESQUERDA E MANGA DIREITA)
9;2;2;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
8;3;3;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
8;2;3;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA)
8;2;2;(ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA)
8;1;2;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA)
8;2;3;(ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
8;1;2;(ANTEROPOSTERIOR DIREITA, MANGA DIREITA)
8;2;3;(ANTEROPOSTERIOR DIREITA, MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
8;1;2;(ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA)
8;2;3;(ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
8;2;2;(TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
8;2;2;(MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
9;2;2;(GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
8;3;3;(GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
8;2;3;(GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA, TENTATIVA DE PEGADA)
8;2;2;(GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA)
